ax,ay,az,gx,gy,gz,label
1.01,-0.22,-0.02,-5,-3,1,idle
1.0,-0.22,0.0,-5,-2,1,idle
0.99,-0.22,0.01,-5,-3,1,idle
0.9700001,-0.24,-0.03,-5,-3,1,idle
0.93,-0.22,-0.02,-5,-3,1,idle
1.0,-0.23,0.0,-5,-3,1,idle
1.0,-0.22,-0.0,-5,-3,1,idle
1.0,-0.22,-0.0,-5,-3,1,idle
0.99,-0.22,0.01,-6,-3,1,idle
1.0,-0.22,0.0,-6,-4,1,idle
1.0,-0.22,-0.0,-7,-4,1,idle
1.0,-0.23,-0.0,-6,-4,1,idle
1.0,-0.22,0.01,-5,-5,1,idle
1.0,-0.22,0.0,-5,-5,1,idle
1.0,-0.22,-0.01,-5,-5,1,idle
1.0,-0.22,-0.03,-5,-5,1,idle
1.0,-0.22,-0.02,-4,-5,1,idle
1.0,-0.22,-0.03,-4,-5,1,idle
1.0,-0.22,-0.04,-5,-4,1,idle
1.0,-0.22,-0.02,-5,-3,1,idle
1.0,-0.22,-0.01,-4,-3,1,idle
1.0,-0.23,-0.04,-4,-3,1,idle
1.0,-0.22,-0.04,-4,-2,1,idle
0.99,-0.22,-0.01,-5,-2,1,idle
1.0,-0.23,-0.01,-5,-2,1,idle
1.0,-0.22,-0.01,-4,-2,1,idle
0.99,-0.22,-0.01,-4,-2,1,idle
0.99,-0.22,-0.01,-5,-2,1,idle
1.0,-0.22,-0.02,-5,-3,1,idle
1.0,-0.23,-0.01,-5,-3,1,idle
1.0,-0.22,-0.01,-4,-3,1,idle
1.0,-0.22,-0.01,-5,-3,1,idle
1.0,-0.22,-0.02,-5,-3,1,idle
1.0,-0.22,-0.02,-5,-3,1,idle
1.0,-0.22,-0.01,-5,-2,1,idle
1.0,-0.22,0.0,-5,-3,1,idle
1.0,-0.22,-0.01,-5,-3,1,idle
1.0,-0.22,-0.01,-5,-3,1,idle
1.0,-0.22,-0.01,-4,-3,1,idle
1.0,-0.22,-0.0,-5,-3,1,idle
1.0,-0.22,-0.01,-5,-3,1,idle
1.0,-0.22,-0.02,-4,-3,1,idle
1.0,-0.21,-0.01,-4,-3,1,idle
0.99,-0.22,-0.0,-5,-3,1,idle
0.99,-0.22,-0.01,-5,-3,1,idle
1.0,-0.22,0.0,-5,-3,1,idle
1.0,-0.22,-0.0,-5,-3,1,idle
0.99,-0.22,0.0,-5,-3,1,idle
1.0,-0.22,-0.01,-5,-3,1,idle
1.0,-0.23,-0.01,-4,-3,1,idle

1.1,-0.19,0.18,-17,-4,1,slow
0.72,-0.58,-0.14,-7,-2,2,slow
1.55,-0.13,0.06,6,-4,8,slow
1.08,-0.15,0.03,10,5,6,slow
0.83,-0.36,-0.17,5,-2,0,slow
0.76,-0.3,0.04,-4,1,0,slow
0.54,-0.08,0.01,-7,-5,-5,slow
0.95,-0.26,-0.07,-25,-5,-6,slow
1.06,-0.21,0.31,11,-5,3,slow
0.98,-0.45,-0.04,-2,-1,1,slow
0.7,-0.53,0.04,-6,-7,1,slow
0.94,-0.26,-0.11,1,0,0,slow
1.3,-0.25,0.11,-3,-3,2,slow
0.9599999,-0.17,-0.04,-4,-7,-3,slow
1.17,-0.23,0.01,5,-3,-1,slow
0.69,-0.39,0.2,-8,-4,1,slow
1.44,-0.1,-0.1,-19,-5,0,slow
0.79,-0.38,-0.02,-20,-5,-4,slow
1.09,-0.11,0.09,9,2,6,slow
0.77,-0.26,0.01,8,0,-1,slow
1.24,-0.22,0.01,7,-3,6,slow
0.8,-0.26,0.1,8,3,4,slow
0.88,-0.21,0.02,-3,-6,8,slow
0.81,-0.08,-0.08,-6,-3,4,slow
0.99,-0.51,0.03,-9,-2,1,slow
1.13,-0.26,-0.04,0,-4,-1,slow
0.95,-0.09,0.03,20,3,4,slow
1.13,-0.19,0.18,9,-5,9,slow
1.18,-0.28,0.01,-3,-4,0,slow
1.11,-0.3,-0.03,-12,-4,6,slow
1.08,-0.15,-0.13,3,-2,4,slow
0.76,-0.48,0.01,4,-7,2,slow
0.84,-0.55,-0.02,-4,-9,5,slow
0.73,-0.58,0.05,-9,-10,4,slow
0.8,-0.38,0.07,-23,-11,-1,slow
1.09,-0.14,0.12,-39,-15,-4,slow
1.01,-0.18,-0.04,-35,-6,-2,slow
0.88,-0.35,0.04,-28,-3,2,slow
1.47,-0.25,-0.01,-18,0,2,slow
0.71,-0.45,-0.1,-6,5,8,slow
1.14,-0.24,-0.2,23,9,8,slow
0.57,-0.45,0.1,27,4,2,slow
0.95,-0.41,0.09,14,-1,4,slow
0.75,-0.31,0.06,-3,-11,-5,slow
1.03,-0.23,-0.12,3,-8,-4,slow
0.98,-0.3,-0.03,12,-1,0,slow
1.09,-0.09,0.2,5,-7,1,slow
0.82,-0.14,-0.11,-22,-10,-7,slow
1.13,-0.4,-0.0,-28,-8,1,slow
0.93,-0.45,0.05,-26,-8,0,slow

0.99,0.02,-0.01,-9,-4,-2,fast
1.71,-0.02,0.51,1,-2,3,fast
1.25,0.16,0.12,-16,-9,-5,fast
1.32,-0.08,0.18,21,-10,13,fast
2.0,-0.38,0.06,1,-17,16,fast
0.85,-0.18,-0.32,1,-5,5,fast
0.39,-0.3,-0.34,4,6,2,fast
-0.62,-0.84,-0.4,-3,2,-20,fast
1.14,-0.66,-0.57,-1,-2,4,fast
2.0,0.67,-0.25,-3,0,-3,fast
0.29,-1.35,-0.23,4,1,16,fast
0.78,0.17,0.04,-3,-3,-10,fast
1.62,0.42,0.19,4,-5,-1,fast
-0.01,-1.16,-0.44,3,-2,4,fast
0.86,-0.26,-0.41,-9,-11,-6,fast
0.03,0.4,-0.03,10,-1,-4,fast
0.16,0.06,0.41,-2,-9,8,fast
0.41,-0.92,0.14,-12,-13,3,fast
1.81,-0.73,0.11,14,11,16,fast
0.33,-0.81,-0.06,6,-12,-5,fast
1.26,-1.01,0.24,-13,-17,0,fast
1.53,0.64,0.05,-19,-14,2,fast
0.8,-0.69,0.33,-23,-4,-6,fast
-0.48,-0.42,-0.15,-10,18,0,fast
0.68,-0.53,0.21,7,-1,5,fast
1.77,0.43,0.38,4,0,-2,fast
0.42,-0.54,0.35,-5,-11,-3,fast
0.94,0.37,-0.24,-7,-1,-8,fast
1.92,-0.29,-0.04,-7,-6,8,fast
1.18,-0.57,0.06,9,-4,8,fast
0.06,0.18,-0.29,-3,-8,-3,fast
1.33,1.18,0.11,-23,-15,-5,fast
1.52,0.01,-0.21,1,3,11,fast
1.05,-0.61,0.01,4,6,14,fast
1.78,0.27,-0.01,13,9,11,fast
0.23,-0.45,-0.41,6,-8,1,fast
1.0,-0.67,-0.13,-5,-19,8,fast
0.43,-1.02,-0.02,-20,-13,-2,fast
2.0,0.13,-0.29,-18,-5,19,fast
0.46,-0.63,-0.36,-12,10,-3,fast
1.74,-0.76,0.46,6,-6,-11,fast
0.27,-0.62,0.18,-1,-1,2,fast
0.93,-0.4,-0.08,-4,-8,1,fast
0.83,-0.73,0.21,-5,-12,0,fast
0.65,-0.66,0.15,-20,6,1,fast
0.21,-0.26,-0.28,-7,-9,-8,fast
0.06,-0.99,0.0,-11,-15,-5,fast
-0.02,-0.94,0.18,-14,-11,-11,fast
-0.23,-0.07,-0.49,-8,-10,-12,fast
0.54,-0.24,-0.28,-8,12,-9,fast

1.21,-0.15,0.02,-1,-7,10,slow
1.04,0.04,-0.06,-12,-9,-2,slow
1.63,-0.3,0.21,3,-5,12,slow
1.18,0.06,0.2,-1,-6,7,slow
0.77,-0.17,0.11,-8,-7,4,slow
1.76,-0.14,0.22,-6,-3,2,slow
